ID,Sta,cast,nisk,qc,YYYY,MM,DD,TIME,Lat,Long,btm,Press,CTD T,CTD Salt,Bot Sal,qc,CTD O2,Bot O2,qc,DIC,qc,TA,qc,pH TOT,pH Temp,qc,CO3,qc,Sil,Amm,Nitra,Nitri,PO4,qc,Line,PO4 4 co2sys,SIL 4 co2sys,nut flag,TA 4 co2sys,TA flag,DIC 4 co2sys,DIC flag,Blanc1,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor,Blanc2,pH TOT in situ,pCO2,CO2,HCO3,CO3,Calc,Arag,Revelle Factor
650104,65,1,4,2,2016,05,25,16:07:48,39.891,-125.201,2478,1001.0,3.52,34.442,-999.000,9,16.0,15.0,2,2373.4,2,2377.7,2,7.3103,25.0,2,49.60,2,125.96,0.02,43.46,0.03,3.26,2,8,3.26,125.96,2,2377.7,2,2373.4,2,,7.571,1171.75,64.41,2266.80,42.20,0.83,0.53,19.09,,7.571,1171.75,64.41,2266.80,42.20,0.83,0.53,19.09
650105,65,1,5,2,2016,05,25,16:13:37,39.891,-125.201,2478,750.1,4.17,34.352,-999.000,9,9.3,9.2,2,2358.6,2,2355.3,2,7.2909,25.0,2,47.30,2,110.32,0.00,42.94,0.01,3.27,2,8,3.27,110.32,2,2355.3,2,2358.6,2,,7.547,1269.64,68.18,2250.48,39.94,0.82,0.52,18.89,,7.547,1269.64,68.18,2250.48,39.94,0.82,0.52,18.89
650106,65,1,6,2,2016,05,25,16:19:37,39.891,-125.201,2478,500.0,4.89,34.163,34.165,2,20.4,20.0,2,2323.8,2,2322.0,2,7.2840,25.0,2,47.10,2,87.78,0.01,41.67,0.01,3.10,2,8,3.10,87.78,2,2322.0,2,2323.8,2,,7.554,1272.95,66.68,2216.86,40.26,0.87,0.55,18.82,,7.554,1272.95,66.68,2216.86,40.26,0.87,0.55,18.82
650107,65,1,7,2,2016,05,25,16:23:25,39.891,-125.201,2478,401.0,5.39,34.121,-999.000,9,31.0,31.1,2,2307.0,2,2306.4,2,7.3033,25.0,2,46.23,2,75.90,0.02,40.13,0.01,2.94,2,8,2.94,75.90,2,2306.4,2,2307.0,2,,7.556,1277.59,65.74,2200.64,40.62,0.90,0.57,18.78,,7.556,1277.59,65.74,2200.64,40.62,0.90,0.57,18.78
650108,65,1,8,2,2016,05,25,16:27:22,39.891,-125.201,2478,300.9,6.05,34.071,-999.000,9,48.6,-999,9,2283.0,2,2293.3,2,7.3329,25.0,2,49.66,2,65.59,0.10,38.10,0.02,2.85,2,8,2.85,65.59,2,2293.3,2,2283.0,2,,7.589,1192.65,59.97,2178.87,44.15,1.00,0.63,18.82,,7.589,1192.65,59.97,2178.87,44.15,1.00,0.63,18.82
650109,65,1,9,2,2016,05,25,16:30:59,39.891,-125.201,2478,200.6,7.01,34.007,-999.000,9,83.1,-999,9,2243.8,2,2276.7,2,7.4027,25.0,2,56.83,2,49.17,0.01,33.99,0.01,2.46,2,8,2.46,49.17,2,2276.7,2,2243.8,2,,7.658,1016.73,49.46,2141.82,52.53,1.21,0.77,18.60,,7.658,1016.73,49.46,2141.82,52.53,1.21,0.77,18.60
650110,65,1,10,2,2016,05,25,16:34:07,39.891,-125.201,2478,150.1,7.55,33.972,-999.000,9,100.3,-999,9,2221.3,2,2266.7,2,7.4408,25.0,2,61.22,2,41.83,0.01,31.67,0.06,2.32,2,8,2.32,41.83,2,2266.7,2,2221.3,2,,7.696,931.21,44.47,2119.17,57.66,1.34,0.85,18.28,,7.696,931.21,44.47,2119.17,57.66,1.34,0.85,18.28
650111,65,1,11,2,2016,05,25,16:36:05,39.891,-125.201,2478,125.6,7.88,33.898,-999.000,9,116.6,-999,9,2203.7,2,2259.4,2,7.4768,25.0,2,65.44,2,36.66,0.00,29.66,0.04,2.07,2,8,2.07,36.66,2,2259.4,2,2203.7,2,,7.729,861.26,40.69,2100.82,62.20,1.46,0.92,17.95,,7.729,861.26,40.69,2100.82,62.20,1.46,0.92,17.95
650112,65,1,12,2,2016,05,25,16:38:26,39.891,-125.201,2478,101.8,8.15,33.833,-999.000,9,134.7,133.5,2,2187.5,2,2254.0,2,7.5058,25.0,2,69.50,2,32.87,0.01,27.95,0.07,2.02,2,8,2.02,32.87,2,2254.0,2,2187.5,2,,7.762,794.40,37.19,2083.17,67.13,1.58,1.00,17.55,,7.762,794.40,37.19,2083.17,67.13,1.58,1.00,17.55
650113,65,1,13,2,2016,05,25,16:40:41,39.891,-125.201,2478,80.6,8.44,33.754,-999.000,9,139.2,-999,9,2175.2,2,2247.6,2,7.5289,25.0,2,72.23,3,29.48,0.00,26.44,0.06,1.85,2,8,1.85,29.48,2,2247.6,2,2175.2,2,,7.779,761.98,35.34,2069.87,69.99,1.65,1.05,17.29,,7.779,761.98,35.34,2069.87,69.99,1.65,1.05,17.29
